year,race,location,date,network,,spliced_name_1,spliced_name_2,spliced_name_3,spliced_name_4,spliced_name_5,spliced_name_6,spliced_name_7,spliced_name_8,spliced_name_9,spliced_name_10,name_for_macro
2017,STP_500,"Martinsville_Speedway, Ridgeway,_Virginia",4_2_2019,2:00 p.m.,FS1,STP,500,,,,,,,,,2017_STP_500
2017,OReilly_Auto_Parts_500,"Texas_Motor_Speedway, Fort_Worth, Texas",4_9_2019,1:30 p.m.,Fox,O'Reilly,Auto,Parts,500,,,,,,,2017_OReilly_Auto_Parts_500
2017,Food_City_500,"Bristol_Motor_Speedway, Bristol,_Tennessee",April_242,1:00 p.m.,Fox,Food,City,500,,,,,,,,2017_Food_City_500
2017,Toyota_Owners_400,"Richmond_Raceway, Richmond,_Virginia",4_30_2019,2:00 p.m.,Fox,Toyota,Owners,400,,,,,,,,2017_Toyota_Owners_400
2017,GEICO_500,"Talladega_Superspeedway, Lincoln,_Alabama",5_7_2019,2:00 p.m.,Fox,GEICO,500,,,,,,,,,2017_GEICO_500
2017,Go_Bowling_400,"Kansas_Speedway, Kansas_City,_Kansas",5_13_2019,7:30 p.m.,FS1,Go,Bowling,400,,,,,,,,2017_Go_Bowling_400
2017,Coca-Cola_600,,5_28_2019,6:00 p.m.,Fox,Coca-Cola,600,,,,,,,,,2017_Coca-Cola_600
2017,AAA_400_Drive_for_Autism,"Dover_International_Speedway, Dover,_Delaware",6_4_2019,1:00 p.m.,FS1,AAA,400,Drive,for,Autism,,,,,,2017_AAA_400_Drive_for_Autism
2017,Axalta_presents_the_Pocono_400,"Pocono_Raceway, Long_Pond, Pennsylvania",6_11_2019,3:00 p.m.,FS1,Axalta,presents,the,Pocono,400,,,,,,2017_Axalta_presents_the_Pocono_400
2017,FireKeepers_Casino_400,"Michigan_International_Speedway, Brooklyn, Michigan",6_18_2019,3:00 p.m.,FS1,FireKeepers,Casino,400,,,,,,,,2017_FireKeepers_Casino_400
2017,Toyota-Save_Mart_350,"Sonoma_Raceway, Sonoma, California",6_25_2019,3:00 p.m.,FS1,Toyota_Save,Mart,350,,,,,,,,2017_Toyota-Save_Mart_350
2017,Coke_Zero_400,"Daytona_International_Speedway, Daytona_Beach, Florida",7_1_2019,7:30 p.m.,NBC,Coke,Zero,400,,,,,,,,2017_Coke_Zero_400
2017,Quaker_State_400,"Kentucky_Speedway, Sparta, Kentucky",7_8_2019,7:30 p.m.,NBCSN,Quaker,State,400,,,,,,,,2017_Quaker_State_400
2017,Overtons_301,"New_Hampshire_Motor_Speedway, Loudon, New_Hampshire",7_16_2019,3:00 p.m.,NBCSN,Overton's,301,,,,,,,,,2017_Overtons_301
2017,Brickyard_400,"Indianapolis_Motor_Speedway, Speedway, Indiana",7_23_2019,2:30 p.m.,NBC,Brantley,Gilbert,Big,Machine,Brickyard,400,,,,,2017_Brickyard_400
2017,Overtons_400,"Pocono_Raceway, Long_Pond, Pennsylvania",7_30_2019,3:00 p.m.,NBCSN,Overton's,400,,,,,,,,,2017_Overtons_400
2017,I_Love_New_York_355_at_The_Glen,"Watkins_Glen_International, Watkins_Glen, New_York",8_6_2019,3:00 p.m.,NBCSN,I,Love,New,York,355,at,The,Glen,,,2017_I_Love_New_York_355_at_The_Glen
2017,Pure_Michigan_400,"Michigan_International_Speedway, Brooklyn, Michigan",8_13_2019,3:00 p.m.,NBCSN,Pure,Michigan,400,,,,,,,,2017_Pure_Michigan_400
2017,Bass_Pro_Shops-NRA_Night_Race,"Bristol_Motor_Speedway, Bristol, Tennessee",8_19_2019,7:30 p.m.,NBC,Bass,Pro,Shops,NRA,Night,Race,,,,,2017_Bass_Pro_Shops-NRA_Night_Race
2017,Bojangles_Southern_500,"Darlington_Raceway, Darlington, South_Carolina",9_3_2019,6:00 p.m.,NBCSN,Bojangles',Southern,500,,,,,,,,2017_Bojangles_Southern_500
2017,Federated_Auto_Parts_400,"Richmond_Raceway, Richmond, Virginia",9_9_2019,7:30 p.m.,NBCSN,Federated,Auto,Parts,400,,,,,,,2017_Federated_Auto_Parts_400
2017,Tales_of_the_Turtles_400,"Chicagoland_Speedway, Joliet, Illinois",9_17_2019,3:00 p.m.,NBCSN,Tales,of,the,Turtles,400,,,,,,2017_Tales_of_the_Turtles_400
2017,ISM_Connect_300,"New_Hampshire_Motor_Speedway, Loudon, New_Hampshire",9_24_2019,2:00 p.m.,NBCSN,ISM,Connect,300,,,,,,,,2017_ISM_Connect_300
2017,Delaware_400,"Dover_International_Speedway, Dover, Delaware",10_1_2019,2:00 p.m.,NBCSN,Apache,Warrior,400,,,,,,,,2017_Delaware_400
2017,Bank_of_America_500,"Charlotte_Motor_Speedway, Concord, North_Carolina",10_8_2019,1:00 p.m.,NBC,Bank,of,America,500,,,,,,,2017_Bank_of_America_500
2017,Alabama_500,"Talladega_Superspeedway, Lincoln, Alabama",10_15_2019,2:00 p.m.,NBC,Alabama,500,,,,,,,,,2017_Alabama_500
2017,Hollywood_Casino_400,"Kansas_Speedway, Kansas_City, Kansas",10_22_2019,3:00 p.m.,NBCSN,Hollywood,Casino,400,,,,,,,,2017_Hollywood_Casino_400
2017,First_Data_500,"Martinsville_Speedway, Ridgeway, Virginia",10_29_2019,3:00 p.m.,NBCSN,First,Data,500,,,,,,,,2017_First_Data_500
2017,AAA_Texas_500,"Texas_Motor_Speedway, Fort_Worth, Texas",11_5_2019,2:00 p.m.,NBCSN,AAA,Texas,500,,,,,,,,2017_AAA_Texas_500
2017,Can-Am_500,"Phoenix_International_Raceway, Avondale, Arizona",11_12_2019,2:30 p.m.,NBC,Can-Am,500,,,,,,,,,2017_Can-Am_500
2017,Ford_EcoBoost_400,"Homestead-Miami_Speedway, Homestead, Florida",11_19_2019,3:00 p.m.,NBC,Ford,EcoBoost,400,,,,,,,,2017_Ford_EcoBoost_400
2018,Daytona_500,2_18_2019,2:30 p.m.,Fox,,Daytona,500,,,,,,,,,2018_Daytona_500
2018,Folds_of_Honor_QuikTrip_500,"Atlanta_Motor_Speedway, Hampton, Georgia",2_25_2019,3:30 p.m.,Fox,Folds,of,Honor,QuikTrip,500,,,,,,2018_Folds_of_Honor_QuikTrip_500
2018,Pennzoil_400_presented_by_Jiffy_Lube,"Las_Vegas_Motor_Speedway, Las_Vegas, Nevada",3_4_2019,3:30 p.m.,Fox,Pennzoil,400,,,,,,,,,2018_Pennzoil_400_presented_by_Jiffy_Lube
2018,Ticket_Guardian_500,"ISM_Raceway, Avondale, Arizona",3_11_2019,3:30 p.m.,Fox,TicketGuardian,500,,,,,,,,,2018_Ticket_Guardian_500
2018,Auto_Club_400,"Auto_Club_Speedway, Fontana, California",3_18_2019,3:30 p.m.,Fox,Auto,Club,400,,,,,,,,2018_Auto_Club_400
2018,STP_500,"Martinsville_Speedway, Ridgeway, Virginia",March_26[N_1],2:00 p.m.,FS1,STP,500,,,,,,,,,2018_STP_500
2018,OReilly_Auto_Parts_500,"Texas_Motor_Speedway, Fort_Worth, Texas",4_8_2019,2:00 p.m.,FS1,O'Reilly,Auto,Parts,500,,,,,,,2018_OReilly_Auto_Parts_500
2018,Food_City_500,"Bristol_Motor_Speedway, Bristol, Tennessee",April_15–16[N_2],1:15 p.m.,Fox,Food,City,500,,,,,,,,2018_Food_City_500
2018,Toyota_Owners_400,"Richmond_Raceway, Richmond, Virginia",4_21_2019,6:30 p.m.,Fox,Toyota,Owners,400,,,,,,,,2018_Toyota_Owners_400
2018,GEICO_500,"Talladega_Superspeedway, Lincoln, Alabama",4_29_2019,2:00 p.m.,Fox,GEICO,500,,,,,,,,,2018_GEICO_500
2018,AAA_400_Drive_for_Autism,"Dover_International_Speedway, Dover, Delaware",5_6_2019,1:45 p.m.,FS1,AAA,400,Drive,for,Autism,,,,,,2018_AAA_400_Drive_for_Autism
2018,KC_Masterpiece_400,"Kansas_Speedway, Kansas_City, Kansas",5_12_2019,8:00 p.m.,FS1,KC,Masterpiece,400,,,,,,,,2018_KC_Masterpiece_400
2018,Coca-Cola_600,,5_27_2019,6:00 p.m.,Fox,Coca-Cola,600,,,,,,,,,2018_Coca-Cola_600
2018,Pocono_400,"Pocono_Raceway, Long_Pond, Pennsylvania",6_3_2019,2:00 p.m.,FS1,Pocono,400,,,,,,,,,2018_Pocono_400
2018,FireKeepers_Casino_400,"Michigan_International_Speedway, Brooklyn, Michigan",6_10_2019,4:30 p.m.,Fox,FireKeepers,Casino,400,,,,,,,,2018_FireKeepers_Casino_400
2018,Toyota-Save_Mart_350,"Sonoma_Raceway, Sonoma, California",6_24_2019,3:00 p.m.,FS1,Toyota_Save,Mart,350,,,,,,,,2018_Toyota-Save_Mart_350
2018,Overtons_400,"Chicagoland_Speedway, Joliet, Illinois",7_1_2019,2:30 p.m.,NBCSN,Overton's,400[67],,,,,,,,,2018_Overtons_400
2018,Coke_Zero_Sugar_400,"Daytona_International_Speedway, Daytona_Beach, Florida",7_7_2019,7:00 p.m.,NBC,Coke,Zero,Sugar,400,,,,,,,2018_Coke_Zero_Sugar_400
2018,Quaker_State_400_presented_by_Walmart,"Kentucky_Speedway, Sparta, Kentucky",7_14_2019,7:30 p.m.,NBCSN,Quaker,State,400,presented,by,Walmart,,,,,2018_Quaker_State_400_presented_by_Walmart
2018,Foxwoods_Resort_Casino_301,"New_Hampshire_Motor_Speedway, Loudon, New_Hampshire",7_22_2019,4:15 p.m.,NBCSN,Foxwoods,Resort,Casino,301,,,,,,,2018_Foxwoods_Resort_Casino_301
2018,Gander_Outdoors_400,"Pocono_Raceway, Long_Pond, Pennsylvania",7_29_2019,2:30 p.m.,NBCSN,Gander,Outdoors,400[68],,,,,,,,2018_Gander_Outdoors_400
2018,Go_Bowling_at_The_Glen,"Watkins_Glen_International, Watkins_Glen, New_York",8_5_2019,2:30 p.m.,NBC,Go,Bowling,at,The,Glen[69],,,,,,2018_Go_Bowling_at_The_Glen
2018,Consumers_Energy_400,"Michigan_International_Speedway, Brooklyn, Michigan",8_12_2019,2:30 p.m.,NBCSN,Consumers,Energy,400,,,,,,,,2018_Consumers_Energy_400
2018,Bass_Pro_Shops-NRA_Night_Race,"Bristol_Motor_Speedway, Bristol, Tennessee",8_18_2019,6:30 p.m.,NBCSN,Bass,Pro,Shops,NRA,Night,Race,,,,,2018_Bass_Pro_Shops-NRA_Night_Race
2018,Bojangles_Southern_500,"Darlington_Raceway, Darlington, South_Carolina",9_2_2019,7:00 p.m.,NBCSN,Bojangles',Southern,500,,,,,,,,2018_Bojangles_Southern_500
2018,Big_Machine_Vodka_400_at_the_Brickyard,"Indianapolis_Motor_Speedway, Speedway, Indiana",September_10 [N_3],2:00 p.m.,NBCSN,Big,Machine,Vodka,400,at,the,Brickyard,,,,2018_Big_Machine_Vodka_400_at_the_Brickyard
2018,South_Point_400,"Las_Vegas_Motor_Speedway, Las_Vegas, Nevada",9_16_2019,3:00 p.m.,NBCSN,South,Point,400,,,,,,,,2018_South_Point_400
2018,Federated_Auto_Parts_400,"Richmond_Raceway, Richmond, Virginia",9_22_2019,7:30 p.m.,NBCSN,Federated,Auto,Parts,400,,,,,,,2018_Federated_Auto_Parts_400
